Problem Size, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,34560,122.2,109.2,114.8,108.6,103.4
1000000,51335,136.8,112.2,115.8,105.8,109.8
1000000,28420,124.6,112.2,108.2,97.6,100.8
1000000,110940,162.4,126.0,106.6,107.2,106.0
1000000,58182,130.0,115.4,115.6,107.0,100.6
1000000,78965,144.2,118.2,109.8,106.2,105.8
1000000,114553,168.4,123.6,108.8,105.6,108.8
1000000,31192,125.6,110.2,114.0,103.8,101.8
1000000,59196,137.0,112.2,114.6,109.4,103.0
1000000,11651,109.8,115.4,121.6,105.8,98.2
1000000,121595,168.8,119.6,110.6,103.2,106.4
1000000,84417,146.2,111.8,108.8,110.8,106.2
1000000,29898,128.2,115.4,112.2,105.8,109.0
1000000,69352,144.6,120.6,112.2,103.4,103.8
1000000,69102,138.4,117.8,113.4,107.2,106.0
1000000,47677,129.6,118.6,110.4,102.8,105.0
1000000,24837,122.2,108.8,115.0,102.0,102.8
1000000,118208,165.6,121.6,110.2,107.0,115.8
1000000,77467,156.8,119.6,112.2,99.6,110.4
1000000,12647,121.0,109.2,113.2,108.8,100.8
1000000,53422,137.2,112.4,112.0,99.6,109.0
1000000,116460,158.8,119.8,106.8,106.2,104.2
1000000,115846,165.2,118.2,112.0,112.6,108.2
1000000,28954,124.8,115.4,114.4,100.2,99.8
1000000,2300,104.6,105.8,112.0,105.4,109.0
1000000,15437,117.8,112.8,114.0,109.0,103.8
1000000,116894,171.4,123.8,113.8,106.4,104.0
1000000,91434,155.4,118.4,109.0,106.8,115.8
1000000,27218,124.6,106.8,118.2,109.8,106.2
5000000,106235,706.0,1864.4,1884.0,679.4,667.6
5000000,178293,836.0,1926.8,1928.8,756.2,800.6
5000000,13212,668.6,1847.2,1864.4,667.2,650.4
5000000,198043,711.0,1851.6,1875.0,697.6,686.0
5000000,8730,619.0,1837.4,1838.8,666.8,659.2
5000000,176164,726.8,1872.8,1865.4,687.2,676.8
5000000,39404,649.4,1877.4,1851.6,680.2,660.0
5000000,594425,893.8,1844.0,1837.0,683.0,700.6
5000000,20311,670.4,1864.6,1881.6,675.6,656.2
5000000,386140,805.4,1830.8,1845.4,677.8,693.8
5000000,532870,861.8,1863.2,1837.2,668.6,688.6
5000000,392655,812.8,1851.4,1858.8,682.4,685.2
5000000,78842,661.0,1837.2,1853.4,707.0,672.8
5000000,236561,727.2,1828.0,1856.6,681.8,670.0
5000000,366378,780.8,1831.4,1855.6,691.2,680.2
5000000,170711,728.6,1859.8,1850.0,676.2,685.4
5000000,354694,820.6,1851.4,1853.6,676.8,688.0
5000000,585394,916.0,1912.8,1897.4,690.2,718.2
5000000,146428,682.8,1854.6,1832.6,690.8,668.4
5000000,583274,916.6,1862.8,1923.0,746.8,754.8
